No,Kata Tunggal,Arti,Jamak Taksir,Arti Jamak,Contoh Kalimat,Terjemah
1,كَلْبٌ,anjing,أَكْلابٌ,anjing-anjing,نَبَحَ الْكِلَابُ بِصَوْتٍ عَالٍ,Anjing-anjing menggonggong dengan keras
2,فَرَسٌ,kuda,أَفْراسٌ,kuda-kuda,رَكِبَ الْجُنُوْدُ ظُهُوْرَ الْأَفْرَاسِ,Para tentara menunggangi kuda-kuda
3,بَقَرَةٌ,sapi,أَبْقَارٌ,sapi-sapi,رَعَى أَبِيْ أَبْقَارَهُ فِيْ حَقْلٍ,Ayahku menggembala sapi-sapinya di ladang
4,جَمَلٌ,unta,أَجْمَالٌ,unta-unta,تَشْرَبُ الْجَمَالُ الْكَثِيْرَ مِنَ المَاءِ,Unta-unta meminum air banyak sekali
5,دَجَاجَةٌ,ayam,أَدْجَاجٌ,ayam-ayam,رَكَِضَ الّدَّجَاجُ إِذَا نَزَلَ الْمَطَرُ,Ayam-ayam berlari saat turunnya hujan
6,غَزَالٌ,rusa,أَغْزَالٌ,rusa-rusa,رَأَيْتُ أَغْزَالًا فِيْ حَدِيْقَةِ حَيَوَانَاتٍ,Aku melihat rusa-rusa di kebun binatang
7,سَمَكَةٌ,ikan,أَسْماكٌ,ikan-ikan,قَدْ أَكَلَتْ تِلْكَ الْقِطَّةُ أَسْمَاكِيْ,Sungguh kucing itu telah memakan ikan-ikanku
8,دُبٌّ,beruang,أَدْبَابٌ,beruang-beruang,الدُّبَّةُ تَعِيشُ في الجُحورِ في الغاباتِ.,Beruang-bearuang hidup di dalam gua-gua di hutan.
9,حِمَارٌ,keledai,أَحْمَارٌ,keledai-keledai,الحُمُرُ تُستَخدَمُ لِنَقلِ الحُمُولَةِ في المناطِقِ الجَبَلِيَّةِ.,Keledai-keledai digunakan untuk mengangkut beban di daerah-daerah pegunungan.
10,ذِئْبٌ,serigala,أَذْآبٌ,serigala-serigala,الذِّئَابُ تَصطادُ الفَرائِسَ في الغاباتِ.,Serigala-serigala memburu mangsa di hutan.
11,زَرَافَةٌ,jeparah,أَزْرَافٌ,jerapah-jerapah,الزَّرَافَاتُ لَهَا أَعنَاقٌ طَوِيلَةٌ لِتَصلُ إلى أَعلَى الأَغصَانِ.,Jerapah-jerapah memiliki leher panjang untuk mencapai daun-daun pohon yang tinggi.
12,كِتَابٌ,buku,أَكْتَبٌ,buku-buku,الكُتُبُ تَتنَوَّعُ في المَكتَبَةِ بِمَواضِيعِهَا وأَلوانِهَا.,Buku-buku beragam topik dan warnanya di perpustakaan.
13,قَلَمٌ,pena,أَقْلَامٌ,pena-pena,الأَقلامُ مُتَنَوِّعَةٌ وَتُستَخدَمُ لِلكِتابَةِ والرِّسَمِ.,Pulpen-pulpen bervariasi dan digunakan untuk menulis dan menggambar.
14,بَيْتٌ,rumah,أَبْيُوتٌ,rumah-rumah,البُيُوتُ في القَريَةِ مُبنِيَةٌ بِالطُّوبِ والحَجَرِ.,Rumah-rumah di desa dibangun dengan bata dan batu.
15,شَجَرَةٌ,pohon,أَشْجَارٌ,pohon-pohon,الشَّجَرُ يُوفِّرُ الظِّلَّ والأكسِجينَ لِلهَواءِ في الطَّبيعَةِ.,Pohon-pohon menyediakan teduh dan oksigen bagi udara di alam.
16,وَرْدَةٌ,bunga,أَوْرَادٌ,bunga-bunga,لوَرَدُ مِنَ الزَّهْرِ فِي الحَدِيقَةِ يَعْطِي رَائِحَةً جَمِيلَةً.,Bunga-bunga mawar di taman memberikan aroma yang indah.
17,سَيَّارَةٌ,mobil,أَسْيَارٌ,mobil-mobil,السَّيَّارَاتُ تَسْتَخْدِمُ فِي النَّقْلِ اليَوْمِيِّ إلَى العَمَلِ.,Mobil-mobil digunakan untuk transportasi sehari-hari ke tempat kerja.
18,حَاسُوبٌ,komputer,أَحْسَابٌ,komputer-komputer,الأَحْسَابُ الإلِكْتْرونِيَّةُ تُسَاعِدُ فِي العَمَلِ الإدَارِيِّ.,Komputer-komputer elektronik membantu dalam pekerjaan administratif.
19,قِطٌّ,kucing,أَقْطَطٌ,kucing-kucing,القِطَطُ تَحِبُّ اللَّعِبَ وَالنَّوْمَ.,Kucing-kucing suka bermain dan tidur.
20,مَدْرَسَةٌ,sekolah,أَمْدَارٌ,sekolah-sekolah,المَدَارِسُ تُعْلِمُ الطُّلَّابَ العِلْمَ وَالمَعْرِفَةَ.,Sekolah-sekolah mengajarkan ilmu pengetahuan dan pengetahuan kepada siswa.
21,مُسْتَشْفَىٰ,rumah sakit,أَمْسَافٍ,rumah sakit-rumah sakit,المُسْتَشْفَيَاتُ تَقْدِمُ الرِّعَايَةَ الصِّحِّيَّةَ لِلْمَرْضَى.,Rumah sakit menyediakan perawatan medis bagi pasien.
22,مَسْجِدٌ,masjid,أَمْسَاجِدٌ,masjid-masjid,الْمَسَاجِدُ مَكَانٌ لِلصَّلاَةِ وَالتَّعَبُّدِ.,Masjid-masjid adalah tempat untuk salat dan ibadah.
